gene_symbol,disease_name,score
MAPT,Alzhimers,0.96
APP,Alzhimers,0.96
APOE,Alzhimers,0.96
PSEN1,Alzhimers,0.96
BACE1,Alzhimers,0.96
PSEN2,Alzhimers,0.87
TREM2,Alzhimers,0.96
SNCA,Alzhimers,0.91
ACHE,Alzhimers,0.91
BDNF,Alzhimers,0.96
CLU,Alzhimers,0.91
GSK3B,Alzhimers,0.91
BCHE,Alzhimers,0.96
TNF,Alzhimers,1
SORL1,Alzhimers,0.87
IL1B,Alzhimers,1
ACE,Alzhimers,0.96
BIN1,Alzhimers,0.91
PICALM,Alzhimers,0.83
ABCA7,Alzhimers,0.83
AGER,Alzhimers,0.91
TOMM40,Alzhimers,0.87
IGF1,Alzhimers,0.96
GRN,Alzhimers,0.96
PPARG,Alzhimers,0.96
ADAM10,Alzhimers,0.91
CD33,Alzhimers,0.87
TTR,Alzhimers,0.91
APOC1,Alzhimers,0.78
NECTIN2,Alzhimers,0.83
SNCA,Parkinson Disease,0.91
LRRK2,Parkinson Disease,0.87
PRKN,Parkinson Disease,0.91
GBA1,Parkinson Disease,0.91
PINK1,Parkinson Disease,0.91
PARK7,Parkinson Disease,0.96
MAPT,Parkinson Disease,0.96
TH,Parkinson Disease,0.87
GDNF,Parkinson Disease,0.91
BDNF,Parkinson Disease,0.96
MAOB,Parkinson Disease,0.96
VPS35,Parkinson Disease,0.83
NR4A2,Parkinson Disease,1
SLC6A3,Parkinson Disease,0.87
UCHL1,Parkinson Disease,0.91
ATP13A2,Parkinson Disease,0.83
DDC,Parkinson Disease,0.91
SLC18A2,Parkinson Disease,0.87
PPARGC1A,Parkinson Disease,0.91
DRD2,Parkinson Disease,0.96
SOD1,Parkinson Disease,0.96
TARDBP,Parkinson Disease,0.91
IL1B,Parkinson Disease,1
SNCB,Parkinson Disease,0.74
SYNJ1,Parkinson Disease,0.78
TFAM,Parkinson Disease,0.87
TNF,Parkinson Disease,1
CYP2D6,Parkinson Disease,0.96
IL6,Parkinson Disease,1
FBXO7,Parkinson Disease,0.78
DRD4,ADHD,0.96
DRD5,ADHD,0.91
GNB5,ADHD,0.74
BAIAP2,ADHD,0.7
CRY1,ADHD,0.83
TCF20,ADHD,0.7
MECP2,ADHD,0.96
CLOCK,ADHD,0.87
FKBP5,ADHD,0.96
SLC6A3,ADHD,0.87
BDNF,ADHD,0.96
DRD2,ADHD,0.96
SLC6A4,ADHD,0.96
HTR2A,ADHD,0.96
CSMD2,ADHD,0.74
ADGRL1,ADHD,0.74
FERRY3,ADHD,0.39
SCAPER,ADHD,0.96
MAP1B,ADHD,0.83
COMT,ADHD,0.96
MAOA,ADHD,0.96
DBH,ADHD,0.91
ADGRL3,ADHD,0.87
FMR1,ADHD,0.91
GRIN2A,ADHD,0.91
MAOB,ADHD,0.96
GRM7,ADHD,0.91
CACNA1C,ADHD,0.91
SLC2A9,ADHD,0.74
THRB,ADHD,0.91
BDNF,Bipolar Disorder,0.96
CACNA1C,Bipolar Disorder,0.91
SLC6A4,Bipolar Disorder,0.96
COMT,Bipolar Disorder,0.96
GAD1,Bipolar Disorder,0.91
ANK3,Bipolar Disorder,0.87
RELN,Bipolar Disorder,0.91
GRIN2A,Bipolar Disorder,0.91
NCAM1,Bipolar Disorder,0.96
GSK3B,Bipolar Disorder,0.91
DRD2,Bipolar Disorder,0.96
HTR2A,Bipolar Disorder,0.96
CLOCK,Bipolar Disorder,0.87
INS,Bipolar Disorder,0.96
DISC1,Bipolar Disorder,0.87
TNF,Bipolar Disorder,1
IL6,Bipolar Disorder,1
NRG1,Bipolar Disorder,0.91
DRD3,Bipolar Disorder,0.83
NCAN,Bipolar Disorder,0.78
DTNBP1,Bipolar Disorder,0.78
GRIN2B,Bipolar Disorder,0.91
SYNE1,Bipolar Disorder,0.91
IMPA2,Bipolar Disorder,0.57
CXCL8,Bipolar Disorder,1
IGF1,Bipolar Disorder,0.96
POMC,Bipolar Disorder,0.96
SLC18A1,Bipolar Disorder,0.74
NTRK2,Bipolar Disorder,0.91
APOE,Bipolar Disorder,0.96
MAPT,Dementia,0.96
GBA1,Dementia,0.91
PSEN1,Dementia,0.96
TYROBP,Dementia,0.91
APOE,Dementia,0.96
APP,Dementia,0.96
SNCA,Dementia,0.91
TREM2,Dementia,0.96
GRN,Dementia,0.96
ACE,Dementia,0.96
CLU,Dementia,0.91
ABCA7,Dementia,0.83
ND4,Dementia,0.83
C9orf72,Dementia,0.83
TOMM40,Dementia,0.87
SORL1,Dementia,0.87
NEFL,Dementia,0.91
CST3,Dementia,0.91
TMEM106B,Dementia,0.7
TARDBP,Dementia,0.91
APOL4,Dementia,0.96
CRP,Dementia,1
BDNF,Dementia,0.96
IL6,Dementia,1
TNF,Dementia,1
IGF1,Dementia,0.96
BCHE,Dementia,0.96
IL1B,Dementia,1
LEP,Dementia,0.96
LRRK2,Dementia,0.87
SOD1,ALS,0.96
DCTN1,ALS,0.83
PRPH,ALS,0.78
TARDBP,ALS,0.91
NEFH,ALS,0.91
SOD1-DT,ALS,0.44
SCAF4,ALS,0.65
UNC13A,ALS,0.74
LOC124629354,ALS,0.09
TROAP-AS1,ALS,0.35
CTSD,ALS,0.91
FOS,ALS,0.91
GRIA3,ALS,0.87
PON1,ALS,0.96
UBQLN4,ALS,0.61
RXRA,ALS,0.91
SELPLG,ALS,0.74
BSG,ALS,0.91
TLE3,ALS,0.65
WNT7A,ALS,0.83
INA,ALS,0.74
CLU,ALS,0.91
FGF6,ALS,0.61
GABRA1,ALS,0.91
GBX2,ALS,0.52
JAK3,ALS,0.83
BCL2L1,ALS,0.87
TIAM1,ALS,0.87
CD7,ALS,0.74
SIX2,ALS,0.74