Drug Name,Type,Inference Score
Melatonin,therapeutic,64.44
Nicotine,therapeutic,57.53
Curcumin,therapeutic,54.57
notoginsenoside R1,therapeutic,50.91
Berberine,therapeutic,47.42
Rosiglitazone,therapeutic,44.53
Plant Preparations,therapeutic,44.51
Rivastigmine,therapeutic,44.1
Apigenin,therapeutic,43.07
Raloxifene Hydrochloride,therapeutic,39.18
Donepezil,therapeutic,37.96
Tadalafil,therapeutic,36.08
Ellagic Acid,therapeutic,33.61
Deferoxamine,therapeutic,33.06
Biological Products,therapeutic,32.42
Resveratrol,therapeutic,32.31
Acetylcholine,therapeutic,32.09
Mifepristone,therapeutic,32.01
Minocycline,therapeutic,31.51
Prodigiosin,therapeutic,31.14
5-Methoxypsoralen,therapeutic,31.13
Paroxetine,therapeutic,30.97
"Nanotubes, Carbon",therapeutic,30.96
Indomethacin,therapeutic,30.83
Niacin,therapeutic,30.42
Trichlorfon,therapeutic,30.07
Cannabidiol,therapeutic,29.95
Tolonium Chloride,therapeutic,29.85
"6,7-dihydroxyflavone",therapeutic,27.73
Plant Extracts,therapeutic,27.38
Galantamine,therapeutic,27.33
icariin,therapeutic,26.22
huperzine A,therapeutic,26.12
Ibuprofen,therapeutic,25.96
Memantine,therapeutic,25.79
Tacrine,therapeutic,24.83
bisdemethoxycurcumin,therapeutic,22.93
Haloperidol,therapeutic,22.71
Dronabinol,therapeutic,21.99
Vitamin D,therapeutic,21.24
Reserpine,therapeutic,20.83
sulindac sulfide,therapeutic,20.19
Physostigmine,therapeutic,19.89
Dipyridamole,therapeutic,18.39
entacapone,therapeutic,14.6
Thiourea,therapeutic,14.44
Androgens,therapeutic,13.93
tideglusib,therapeutic,13.41
puag-haad,therapeutic,13.29
"Heparin, Low-Molecular-Weight",therapeutic,12.19
Ginkgo biloba extract,therapeutic,11.89
Cholinesterase Inhibitors,therapeutic,11.04
Amphotericin B,therapeutic,10.21
Clioquinol,therapeutic,10.1
"N2-((2S)-2-(3,5-difluorophenyl)-2-hydroxyethanoyl)-N1-((7S)-5-methyl-6-oxo-6,7-dihydro-5H-dibenzo(b,d)azepin-7-yl)-L-alaninamide",therapeutic,9.84
Midazolam,therapeutic,9.74
"(22R, 25R)-20alpha-spirost-5-en-3beta-yl hexanoate",therapeutic,9.32
Kai-Xin-San,therapeutic,8.72
Fluvoxamine,therapeutic,8.02
Ceftriaxone,therapeutic,7.71
Tolcapone,therapeutic,7.46
"Anti-Inflammatory Agents, Non-Steroidal",therapeutic,6.63
1-(3-chlorophenyl)piperazine,therapeutic,6.55
Goserelin,therapeutic,6.51
Thioridazine,therapeutic,5.19
3-methyl-5-(1-methyl-2-pyrrolidinyl)isoxazole,therapeutic,4.76
Lecithins,therapeutic,4.25
DP 155,therapeutic,4.22
BMS 708163,therapeutic,3.99
Trazodone,therapeutic,3.84
Maprotiline,therapeutic,2.39